Hui ID	Status	Area	Site Name	Station Name	Display Name	DOH ID	Surfrider ID	Lat	Long	Dates Sampled
		Wailea-Mākena		Kamaole Beach #2	Kama‘ole Beach 2 (Ili'iliholo Beach)	682		20.716678	-156.446944	
		Pā‘ia		Kanaha Central Tower	Kanaha Beach Park	745		20.900392	-156.440578	
		Kīhei		Mai Ponia Oe Iau (Windsurfer)	Mai Poina ‘Oe Ia‘u Beach Park	702		20.78085	-156.461967	
		Wailea-Mākena		Maluaka	Maluaka Beach	718		20.648058	-156.442236	
		Wailea-Mākena		Mokapu	Mokapu Beach Park	714		20.694183	-156.444181	
		Wailea-Mākena		Polo Beach	Polo Beach Park	705		20.676406	-156.443611	
		Polanui		Puamana	Puamana Beach Park	727		20.854722	-156.663444	
		Polanui		Puunoa (Baby) Beach	Pu‘unoa Beach	696		20.883069	-156.687503	
		Hāna		Waianapanapa	Waiʻānapanapa State Park	729		20.755828	-156.003583	
		Wailea-Mākena		Makena Beach (North Tower)	Mākena Beach (North Tower)	739		20.633325	-156.449256	
		Kīhei		Maui Canoe Club	Maui Canoe Club (Sugar Beach)	738		20.787161	-156.470003	
		Pā‘ia		Stables	Stables	708		20.909467	-156.423358	
		Olowalu to Pali		Teen Challenge (Mile 14)	Teen Challenge (Mile 14)	697		20.810011	-156.6089	
		Waihe‘e-Waiehu		Wailuku Breakwater	Wailuku Breakwater	669		20.898061	-156.479739	
		Kīhei		Kihei (North)	Kīhei (North)	671		20.77	-156.459175	
		Kīhei		Kihei Landing	Kīhei Landing	701		20.780833	-156.461689	
		Ridge to Reef		Hanakao'o Point	Hanakaʻōʻō Point	737		20.916858	-156.696625	
		Pā‘ia		Baldwin Park	Baldwin Beach	689	622	20.914725	-156.392522	
		Pā‘ia		Hookipa Beach Park	Ho‘okipa Beach Park W	688	619	20.93335	-156.356953	
		Waihe‘e-Waiehu		Hukilau Hotel Shoreline	Kahului Harbor	654	628	20.891136	-156.4714	
		Pā‘ia		Kuau (Beach Access 402)	Ku‘au Bay	699	620	20.921122	-156.374183	
		Pā‘ia		Paia Outfall, Shoreline	Pā‘ia Bay	664	621	20.915297	-156.384469	
		Pā‘ia		Spreckelsville Beach	Baby Beach	700	632	20.913081	-156.403336	
		Waihe‘e-Waiehu		Waiehu Stream Mouth	Waiehu Stream	667	630	20.921114	-156.492525	
		Waihe‘e-Waiehu		Waihee Farm Shoreline	Waihe‘e Beach Park	668	633	20.933078	-156.501119	
		Pā‘ia			K Bay		616	20.942239	-156.318086	
		Pā‘ia			Kahului Treatment Plant		627	20.896567	-156.453572	
		Waihe‘e-Waiehu			Kanaha _Kalialinui Stream		626	20.891361	-156.4715	
		Pā‘ia			Kanaha Beach		625	20.903278	-156.435917	
		Pā‘ia			Maliko Bay		617	20.936194	-156.339161	
		Pā‘ia			Mama's Beach		631	20.929565	-156.367104	
		Pā‘ia			Pe‘ahi Shoreline		615	20.940953	-156.299172	
		Pā‘ia			Sugar Cove		624	20.909661	-156.409156	
		Waihe‘e-Waiehu			Wailuku Stream		629	20.910464	-156.484889	
LMT	Active 	Lahaina Fire Response	Mala Tavern		Mala Tavern			20.887449	-156.685048	
LMR	Active 	Lahaina Fire Response	Mala Ramp		Mala Ramp			20.885373	-156.686429	
LPS	Active 	Lahaina Fire Response	Papalaua St. 		Pāpalaua St.			20.876911	-156.681359	
LLH	Active 	Lahaina Fire Response	Lahaina Harbor		Lāhainā Harbor			20.871933	-156.678624	
