Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
	yes	no	no	5	Kamaole	NMS	SP	AQ	MB	KKP	KKP180109		Kalama Park	2018-01-09	8:50	1	1	1	1	1	23	0	0	Trades	KKP180109	23.8	34.9	6.71	96.9	8.15	20.10	21.30	19.30	20.23	0.050		2	0		20	10	0	2 dogs playing near collection site
	yes	no	no	5	Kamaole	NMS	SP	AQ	MB	KCP	KCP180109		Cove park	2018-01-09	9:20	1	1	1	1	1	23	0	0	Trades	KCP180109	24.5	31.4	6.57	94.0	8.12	4.90	3.76	4.39	4.35	0.131		2	0		40	10	1	
	yes	no	no	5	Kamaole	NMS	SP	AQ	MB	KKO	KKO180109		Kamaole Beach I	2018-01-09	9:35	1	1	1	1	1	23	0	0	Trades	KKO180109	25.2	35.1		99.2	8.18	2.05	1.80	1.96	1.94	0.065		2	0		15	70	0	2 boats, DO value deleted
	yes	no	no	5	Kamaole	NMS	SP	AQ	MB	KKT	KKT180109		Kamaole Beach III	2018-01-09	9:51	1	1	1	1	1	23	0	0	Trades	KKT180109	25.0	35.1	6.70	98.9	8.18	1.00	0.95	0.94	0.96	0.033		2	0		4	25	0	
	yes	no	no	6	Kamaole	NMS	DH	SG	SP	KWP	KWP180123		Waipuilani Park	2018-01-23	7:55	2	2	2	2	2	8	2	0	Trades	KWP180123	23.3	35.2	6.53	93.4	8.08	23.50	25.20	25.50	24.73	0.044		0	2		1	5	3	
	yes	no	no	6	Kamaole	NMS	DH	SG	SP	KKS	KKS180123		Kihei South	2018-01-23	8:21	2	2	2	2	2	8	2	0	Trades	KKS180123	23.4	33.8	6.26	89.1	8.13	10.10	11.30	10.50	10.63	0.057		0	1		0	8	0	
	yes	no	no	6	Kamaole	NMS	DH	SG	SP	KKP	KKP180123		Kalama Park	2018-01-23	8:35	2	2	2	2	2	8	2	0	Trades	KKP180123	23.9	35.2	6.76	97.7	8.15	11.10	11.30	10.90	11.10	0.018		1	0		2	6	0	Dog surfing ;)
	yes	no	no	6	Kamaole	NMS	DH	SG	SP	KCP	KCP180123		Cove park	2018-01-23	9:00	2	2	2	2	2	8	2	0	Trades	KCP180123	24.4	34.0	6.70	97.1	8.13	7.83	8.08	7.91	7.94	0.016		2	0		10	2	0	
	yes	no	no	6	Kamaole	NMS	DH	SG	SP	KKO	KKO180123		Kamaole Beach I	2018-01-23	9:15	2	2	2	2	2	8	2	0	Trades	KKO180123	24.9	35.5	6.69	98.7	8.18	2.98	2.88	3.04	2.97	0.027		0	0		8	24	0	
	yes	no	no	6	Kamaole	NMS	DH	SG	SP	KKT	KKT180123		Kamaole Beach III	2018-01-23	9:30	2	2	2	2	2	8	2	0	Trades	KKT180123	24.6	35.7	6.67	98.3	8.17	1.29	1.13	1.25	1.22	0.068		1	0		20	55	0	
	yes	no	no	7	Kamaole	NMS	DH	AQ	SG	KWP	KWP180206		Waipuilani Park	2018-02-06	7:55	1	1	1	1	1	21	0	4	Kona	KWP180206	23.7	34.9	6.63	95.9	8.11	35.00	33.10	33.70	33.93	0.029		2	1		0	4	10	
	yes	no	no	7	Kamaole	NMS	DH	AQ	SG	KKS	KKS180206		Kihei South	2018-02-06	8:15	1	1	1	1	1	21	0	4	Kona	KKS180206	23.7	34.1	6.73	97.0	8.11	17.70	17.30	17.40	17.47	0.012		2	0		0	5	0	
	yes	no	no	7	Kamaole	NMS	DH	AQ	SG	KKP	KKP180206		Kalama Park	2018-02-06	8:33	1	1	1	1	1	21	0	4	Kona	KKP180206	24.2	35.2	6.66	97.5	8.11	15.40	16.50	15.70	15.87	0.036		3	0		18	8	0	
	yes	no	no	7	Kamaole	NMS	DH	AQ	SG	KCP	KCP180206		Cove park	2018-02-06	8:49	1	1	1	1	1	21	0	4	Kona	KCP180206	24.2	34.3	6.80	98.6	8.14	7.51	8.33	7.92	7.92	0.052		4	0		5	0	1	
	yes	no	no	7	Kamaole	NMS	DH	AQ	SG	KKO	KKO180206		Kamaole Beach I	2018-02-06	9:10	1	1	1	1	1	21	0	4	Kona	KKO180206	24.8	35.4	6.72	99.6	8.18	5.79	6.30	6.17	6.09	0.044		4	1		5	30	0	
	yes	no	no	7	Kamaole	NMS	DH	AQ	SG	KKT	KKT180206		Kamaole Beach III	2018-02-06	9:23	1	1	1	1	1	21	0	4	Kona	KKT180206	24.7	35.4	6.71	99.3	8.18	2.74	3.26	3.26	3.09	0.097		3	6		10	47	0	Very windy
	yes	no	no	8	Kamaole	NMS	DH	AQ	SG	KWP	KWP180220		Waipuilani Park	2018-02-20	7:54	2	2	2	2	2	5	0	0	Trades	KWP180220	22.5	33.6	6.68	93.5	8.08	27.70	27.20	28.30	27.73	0.020		1	3		0	5	3	
	yes	no	no	8	Kamaole	NMS	DH	AQ	SG	KKS	KKS180220		Kihei South	2018-02-20	8:20	2	2	2	2	2	5	0	0	Trades	KKS180220	24.0	33.9	6.50	93.6	8.14	9.26	10.40	9.94	9.87	0.058		0	3		3	4	0	
	yes	no	no	8	Kamaole	NMS	DH	AQ	SG	KKP	KKP180220		Kalama Park	2018-02-20	8:42	2	2	2	2	2	5	0	0	Trades	KKP180220	23.8	34.5	6.77	97.5	8.17	7.72	8.00	8.48	8.07	0.048		3	0		0	0	0	
	yes	no	no	8	Kamaole	NMS	DH	AQ	SG	KCP	KCP180220		Cove park	2018-02-20	9:01	2	2	2	2	2	5	0	0	Trades	KCP180220	24.7	33.5	6.47	94.0	8.13	1.58	1.91	1.59	1.69	0.111		2	3		10	0	0	
	yes	no	no	8	Kamaole	NMS	DH	AQ	SG	KKO	KKO180220		Kamaole Beach I	2018-02-20	9:14	2	2	2	2	2	5	0	0	Trades	KKO180220	24.9	35.4	6.88	101.4	8.18	2.55	2.49	2.66	2.57	0.034		2	2	 	15	20	0	
	yes	no	no	8	Kamaole	NMS	DH	AQ	SG	KKT	KKT180220		Kamaole Beach III	2018-02-20	9:36	2	2	2	2	2	5	0	0	Trades	KKT180220	24.9	35.4	6.66	98.6	8.17	0.74	1.07	1.00	0.94	0.186		2	0		40	100	0	
	yes	no	no	9	Kamaole	NMS	MB	SP	DH	KWP	KWP180306		Waipuilani Park	2018-03-06	7:56	2	1	1	1	1	20	1	0	Trades	KWP180306	21.4	31.9	6.83	93.3	8.09	24.70	26.30	26.20	25.73	0.035		2	0		0	1	6	
	yes	no	no	9	Kamaole	NMS	MB	SP	DH	KKS	KKS180306		Kihei South	2018-03-06	8:15	2	1	1	1	1	20	1	0	Trades	KKS180306	23.4	32.9	6.22	87.9	8.13	7.60	7.60	7.27	7.49	0.025		1	1		1	2	0	
	yes	no	no	9	Kamaole	NMS	MB	SP	DH	KKP	KKP180306		Kalama Park	2018-03-06	8:33	2	1	1	1	1	20	1	0	Trades	KKP180306	23.5	34.6	6.79	97.2	8.16	9.08	10.20	10.50	9.93	0.075		3	1		4	0	0	
	yes	no	no	9	Kamaole	NMS	MB	SP	DH	KCP	KCP180306		Cove park	2018-03-06	8:51	2	1	1	1	1	20	1	0	Trades	KCP180306	24.4	33.3	6.50	93.8	8.14	2.65	3.22	3.94	3.27	0.198		1	0		20	0	1	
	yes	no	no	9	Kamaole	NMS	MB	SP	DH	KKO	KKO180306		Kamaole Beach I	2018-03-06	9:10	2	1	1	1	1	20	1	0	Trades	KKO180306	24.8	35.0	6.77	99.2	8.19	0.78	0.87	1.08	0.91	0.169		1	0		2	12	0	
	yes	no	no	9	Kamaole	NMS	MB	SP	DH	KKT	KKT180306		Kamaole Beach III	2018-03-06	9:30	2	1	1	1	1	20	1	0	Trades	KKT180306	24.7	34.9	6.76	99.1	8.18	1.05	0.42	0.77	0.75	0.423		0	1		10	30	6	
	yes	no	no	10	Kamaole	NMS	MB	AQ	DH	KWP	KWP180320		Waipuilani Park	2018-03-20	7:53	2	2	2	2	2	3	6	0	Kona	KWP180320	22.2	32.5	6.34	87.9	8.06	8.11	9.02	9.66	8.93	0.087		1	3		0	5	3	
	yes	no	no	10	Kamaole	NMS	MB	AQ	DH	KKS	KKS180320		Kihei South	2018-03-20	8:16	2	2	2	2	2	3	6	0	Kona	KKS180320	23.8	33.7	6.15	88.5	8.16	3.88	2.56	3.00	3.15	0.214		0	1		2	10	0	
	yes	no	no	10	Kamaole	NMS	MB	AQ	DH	KKP	KKP180320		Kalama Park	2018-03-20	8:45	2	2	2	2	2	3	6	0	Kona	KKP180320	23.8	33.8	5.99	86.2	8.13	3.83	3.73	3.37	3.64	0.066		2	1		0	4	0	
	yes	no	no	10	Kamaole	NMS	MB	AQ	DH	KCP	KCP180320		Cove park	2018-03-20	8:58	2	2	2	2	2	3	6	0	Kona	KCP180320	24.7	32.7	6.28	91.2	8.14	1.85	1.55	1.30	1.57	0.176		0	1		3	4	0	
	yes	no	no	10	Kamaole	NMS	MB	AQ	DH	KKO	KKO180320		Kamaole Beach I	2018-03-20	9:17	2	2	2	2	2	3	6	0	Kona	KKO180320	24.8	34.3	6.61	97.3	8.19	0.99	1.15	1.22	1.12	0.105		2	0		20	35	0	
	yes	no	no	10	Kamaole	NMS	MB	AQ	DH	KKT	KKT180320		Kamaole Beach III	2018-03-20	9:40	2	2	2	2	2	3	6	0	Kona	KKT180320	24.6	34.4	6.47	95.0	8.17	0.73	0.78	0.79	0.77	0.042		2	0		40	65	0	
	yes	no	no	11	Kamaole	NMS	MB	SP	AQ	KWP	KWP180403		Waipuilani Park	2018-04-03	8:00	1	1	1	1	1	18	4	4	Kona	KWP180403	25.2	33.9	6.40	94.6	8.08	13.00	13.80	13.70	13.50	0.032		1	2		0	20	3	
	yes	no	no	11	Kamaole	NMS	MB	SP	AQ	KKS	KKS180403		Kihei South	2018-04-03	8:24	1	1	1	1	1	18	4	4	Kona	KKS180403	25.2	32.6	6.35	93.1	8.10	6.79	6.18	6.46	6.48	0.047		1	2		0	15	0	
	yes	no	no	11	Kamaole	NMS	MB	SP	AQ	KKP	KKP180403		Kalama Park	2018-04-03	8:41	1	1	1	1	1	18	4	4	Kona	KKP180403	25.5	34.4	6.66	99.0	8.16	5.53	5.75	5.87	5.72	0.030		2	2		0	10	0	
	yes	no	no	11	Kamaole	NMS	MB	SP	AQ	KCP	KCP180403		Cove park	2018-04-03	9:02	1	1	1	1	1	18	4	4	Kona	KCP180403	25.8	31.7	6.67	98.2	8.13	2.63	2.80	2.87	2.77	0.045		2	2		42	5	0	
	yes	no	no	11	Kamaole	NMS	MB	SP	AQ	KKO	KKO180403		Kamaole Beach I	2018-04-03	9:23	1	1	1	1	1	18	4	4	Kona	KKO180403	26.3	34.3	6.62	99.3	8.18	1.07	1.47	1.48	1.34	0.175		2	2		10	80	0	
	yes	no	no	11	Kamaole	NMS	MB	SP	AQ	KKT	KKT180403		Kamaole Beach III	2018-04-03	9:44	1	1	1	1	1	18	4	4	Kona	KKT180403	25.8	34.5	6.59	98.8	8.17	1.28	1.59	1.61	1.49	0.124		2	2		35	80	0	
	yes	no	no	12	Kamaole	NMS	MB	DH	SG	KWP	KWP180417		Waipuilani Park	2018-04-17	8:02	2	2	2	2	2	2	8	0	Trades	KWP180417	24.8	33.4	6.38	92.6	8.06	11.80	11.00	11.60	11.47	0.036		0	0		0	2	4	
	yes	no	no	12	Kamaole	NMS	MB	DH	SG	KKS	KKS180417		Kihei South	2018-04-17	8:18	2	2	2	2	2	2	8	0	Trades	KKS180417	25.4	32.6	6.15	89.8	8.09	8.10	9.48	9.93	9.17	0.104		0	0		0	2	0	
	yes	no	no	12	Kamaole	NMS	MB	DH	SG	KKP	KKP180417		Kalama Park	2018-04-17	8:37	2	2	2	2	2	2	8	0	Trades	KKP180417	25.5	34.7	6.68	98.9	8.17	8.33	10.60	8.51	9.15	0.138		1	0		1	0	0	
	yes	no	no	12	Kamaole	NMS	MB	DH	SG	KCP	KCP180417		Cove park	2018-04-17	8:57	2	2	2	2	2	2	8	0	Trades	KCP180417	25.9	32.3	6.70	98.5	8.15	3.73	4.32	4.47	4.17	0.094		1	0		10	0	0	
	yes	no	no	12	Kamaole	NMS	MB	DH	SG	KKO	KKO180417		Kamaole Beach I	2018-04-17	9:13	2	2	2	2	2	2	8	0	Trades	KKO180417	25.9	34.2	6.66	98.9	8.18	1.13	1.99	0.98	1.37	0.399		1	0		3	22	0	
	yes	no	no	12	Kamaole	NMS	MB	DH	SG	KKT	KKT180417		Kamaole Beach III	2018-04-17	9:33	2	2	2	2	2	2	8	0	Trades	KKT180417	25.6	34.1	6.70	99.3	8.17	1.29	1.68	1.35	1.44	0.146		1	1		50	50	0	
	yes	no	no	13	Kamaole	NMS	AQ	MB	SG	KWP	KWP180501		Waipuilani Park	2018-05-01	7:57	1	1	1	1	1	16	1	0	Kona	KWP180501	23.4	32.3	6.25	88.0	8.07	7.23	6.72	6.83	6.93	0.039		1	1		3	8	7	
	yes	no	no	13	Kamaole	NMS	AQ	MB	SG	KKS	KKS180501		Kihei South	2018-05-01	8:20	1	1	1	1	1	16	1	0	Kona	KKS180501	24.7	33.7	5.94	86.4	8.13	8.83	11.10	9.50	9.81	0.119		1	1		0	4	1	
	yes	no	no	13	Kamaole	NMS	AQ	MB	SG	KKP	KKP180501		Kalama Park	2018-05-01	8:38	1	1	1	1	1	16	1	0	Kona	KKP180501	24.8	34.8	6.80	99.6	8.19	3.32	3.22	3.29	3.28	0.016		1	2		222	4	7	
	yes	no	no	13	Kamaole	NMS	AQ	MB	SG	KCP	KCP180501		Cove park	2018-05-01	8:54	1	1	1	1	1	16	1	0	Kona	KCP180501	25.1	32.9	6.82	99.4	8.17	2.52	2.41	2.05	2.33	0.106		1	0		27	2	0	
	yes	no	no	13	Kamaole	NMS	AQ	MB	SG	KKO	KKO180501		Kamaole Beach I	2018-05-01	9:09	1	1	1	1	1	16	1	0	Kona	KKO180501	25.3	34.0	6.74	99.1	8.20	2.52	2.98	1.64	2.38	0.286		1	1		4	12	0	
	yes	no	no	13	Kamaole	NMS	AQ	MB	SG	KKT	KKT180501		Kamaole Beach III	2018-05-01	9:28	1	1	1	1	1	16	1	0	Kona	KKT180501	25.0	34.1	6.76	99.0	8.18	0.67	0.70	0.93	0.77	0.186		2	0		4	24	0	
