OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	ActivityTypeCode	ActivityMediaName	ActivityMediaSubdivisionName	ActivityStartDate	ActivityStartTime/Time	ActivityStartTime/TimeZoneCode	ActivityEndDate	ActivityEndTime/Time	ActivityEndTime/TimeZoneCode	ActivityRelativeDepthName	ActivityDepthHeightMeasure/MeasureValue	ActivityDepthHeightMeasure/MeasureUnitCode	ActivityDepthAltitudeReferencePointText	ActivityTopDepthHeightMeasure/MeasureValue	ActivityTopDepthHeightMeasure/MeasureUnitCode	ActivityBottomDepthHeightMeasure/MeasureValue	ActivityBottomDepthHeightMeasure/MeasureUnitCode	ProjectIdentifier	ActivityConductingOrganizationText	MonitoringLocationIdentifier	ActivityCommentText	SampleAquifer	HydrologicCondition	HydrologicEvent	ActivityLocation/LatitudeMeasure	ActivityLocation/LongitudeMeasure	ActivityLocation/SourceMapScaleNumeric	ActivityLocation/HorizontalAccuracyMeasure/MeasureValue	ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode	ActivityLocation/HorizontalCollectionMethodName	ActivityLocation/HorizontalCoordinateReferenceSystemDatumName	AssemblageSampledName	CollectionDuration/MeasureValue	CollectionDuration/MeasureUnitCode	SamplingComponentName	SamplingComponentPlaceInSeriesNumeric	ReachLengthMeasure/MeasureValue	ReachLengthMeasure/MeasureUnitCode	ReachWidthMeasure/MeasureValue	ReachWidthMeasure/MeasureUnitCode	PassCount	NetTypeName	NetSurfaceAreaMeasure/MeasureValue	NetSurfaceAreaMeasure/MeasureUnitCode	NetMeshSizeMeasure/MeasureValue	NetMeshSizeMeasure/MeasureUnitCode	BoatSpeedMeasure/MeasureValue	BoatSpeedMeasure/MeasureUnitCode	CurrentSpeedMeasure/MeasureValue	CurrentSpeedMeasure/MeasureUnitCode	ToxicityTestType	SampleCollectionMethod/MethodIdentifier	SampleCollectionMethod/MethodIdentifierContext	SampleCollectionMethod/MethodName	SampleCollectionMethod/MethodQualifierTypeName	SampleCollectionMethod/MethodDescriptionText	SampleCollectionEquipmentName	SampleCollectionMethod/SampleCollectionEquipmentCommentText	SamplePreparationMethod/MethodIdentifier	SamplePreparationMethod/MethodIdentifierContext	SamplePreparationMethod/MethodName	SamplePreparationMethod/MethodQualifierTypeName	SamplePreparationMethod/MethodDescriptionText	SampleContainerTypeName	SampleContainerColorName	ChemicalPreservativeUsedName	ThermalPreservativeUsedName	SampleTransportStorageDescription	DataLoggerLine	ResultDetectionConditionText	MethodSpecificationName	CharacteristicName	ResultSampleFractionText	ResultMeasureValue	ResultMeasure/MeasureUnitCode	MeasureQualifierCode	ResultStatusIdentifier	StatisticalBaseCode	ResultValueTypeName	ResultWeightBasisText	ResultTimeBasisText	ResultTemperatureBasisText	ResultParticleSizeBasisText	PrecisionValue	DataQuality/BiasValue	ConfidenceIntervalValue	UpperConfidenceLimitValue	LowerConfidenceLimitValue	ResultCommentText	USGSPCode	ResultDepthHeightMeasure/MeasureValue	ResultDepthHeightMeasure/MeasureUnitCode	ResultDepthAltitudeReferencePointText	ResultSamplingPointName	BiologicalIntentName	BiologicalIndividualIdentifier	SubjectTaxonomicName	UnidentifiedSpeciesIdentifier	SampleTissueAnatomyName	GroupSummaryCountWeight/MeasureValue	GroupSummaryCountWeight/MeasureUnitCode	CellFormName	CellShapeName	HabitName	VoltismName	TaxonomicPollutionTolerance	TaxonomicPollutionToleranceScaleText	TrophicLevelName	FunctionalFeedingGroupName	TaxonomicDetailsCitation/ResourceTitleName	TaxonomicDetailsCitation/ResourceCreatorName	TaxonomicDetailsCitation/ResourceSubjectText	TaxonomicDetailsCitation/ResourcePublisherName	TaxonomicDetailsCitation/ResourceDate	TaxonomicDetailsCitation/ResourceIdentifier	FrequencyClassDescriptorCode	FrequencyClassDescriptorUnitCode	LowerClassBoundValue	UpperClassBoundValue	ResultAnalyticalMethod/MethodIdentifier	ResultAnalyticalMethod/MethodIdentifierContext	ResultAnalyticalMethod/MethodName	ResultAnalyticalMethod/MethodQualifierTypeName	MethodDescriptionText	LaboratoryName	AnalysisStartDate	AnalysisStartTime/Time	AnalysisStartTime/TimeZoneCode	AnalysisEndDate	AnalysisEndTime/Time	AnalysisEndTime/TimeZoneCode	ResultLaboratoryCommentCode	ResultLaboratoryCommentText	DetectionQuantitationLimitTypeName	DetectionQuantitationLimitMeasure/MeasureValue	DetectionQuantitationLimitMeasure/MeasureUnitCode	LaboratoryAccreditationIndicator	LaboratoryAccreditationAuthorityName	TaxonomistAccreditationIndicator	TaxonomistAccreditationAuthorityName	LabSamplePreparationMethod/MethodIdentifier	LabSamplePreparationMethod/MethodIdentifierContext	LabSamplePreparationMethod/MethodName	LabSamplePreparationMethod/MethodQualifierTypeName	LabSamplePreparationMethod/MethodDescriptionText	PreparationStartDate	PreparationStartTime/Time	PreparationStartTime/TimeZoneCode	PreparationEndDate	PreparationEndTime/Time	PreparationEndTime/TimeZoneCode	SubstitutionDilutionFactorNumeric	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160616:FM:PS:PH:	Field Msr/Obs	Water		2016-06-16	10:00:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPP					20.7927470000	-156.5673260000																															Probe/Sensor	HACH PHC101														pH		8.07	None		Final		Actual																																									8156	HACH	pH in Water		https://www.nemi.gov/methods/method_summary/4724/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM161006:SR:WB:	Sample-Routine	Water		2016-10-06	07:30:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPM					20.8084440000	-156.6196970000																															Water Bottle														as N	Total Nitrogen, mixed forms	Filtered, field	66.13	ug/l		Final		Actual																																									4500-N	APHA	4500 N ~ 4500-N Nitrogen																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF161130:FM:WB:	Field Msr/Obs	Water		2016-11-30	08:24:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PFF					20.8673200000	-156.6760500000																															Water Bottle	HACH 2100Q														Turbidity		9.30	NTU		Final		Actual																																									180.1	USEPA	Turbidity by Nephelometry		https://www.nemi.gov/methods/method_summary/5217/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH170215:FM:PS:DO:	Field Msr/Obs	Water		2017-02-15	08:45:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PLH					20.8648500000	-156.6737400000																															Probe/Sensor	HACH LDO101														Dissolved oxygen saturation		90.5	%		Final		Actual																																									8157	HACH	Dissolved Oxygen in Water																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RCB161129:FM:PS:DO:	Field Msr/Obs	Water		2016-11-29	08:42:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RCB					20.9103470000	-156.6893820000																															Probe/Sensor	HACH LDO101														Dissolved oxygen saturation		95.4	%		Final		Actual																																									8157	HACH	Dissolved Oxygen in Water																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB170103:FM:PS:TS:	Field Msr/Obs	Water		2017-01-03	09:30:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RAB					20.9366690000	-156.6927800000																															Probe/Sensor	HACH CDC401														Temperature, water		24.4	deg C		Final		Actual																																									2550	APHA	Temperature of Water by Thermometer																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF160921:FM:PS:TS:	Field Msr/Obs	Water		2016-09-21	07:22:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PFF					20.8673200000	-156.6760500000																															Probe/Sensor	HACH CDC401														Salinity		33.1	ppt		Final		Actual																																									8160	HACH	Conductivity in Water by Direct Measurement																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB160630:SR:WB:	Sample-Routine	Water		2016-06-30	08:31:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OUB					20.7944800000	-156.5814200000																															Water Bottle															Silicate	Filtered, field	113.15	ug/l		Final		Actual																																									366	USEPA	Silicate by Colorimetry		https://www.nemi.gov/methods/method_summary/4661/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB170103:FM:PS:DO:	Field Msr/Obs	Water		2017-01-03	09:30:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RAB					20.9366690000	-156.6927800000																															Probe/Sensor	HACH LDO101														Dissolved oxygen saturation		95.5	%		Final		Actual																																									8157	HACH	Dissolved Oxygen in Water																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH161116:SR:WB:	Sample-Routine	Water		2016-11-16	08:45:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PLH					20.8648500000	-156.6737400000																															Water Bottle															Silicate	Filtered, field	469.53	ug/l		Final		Actual																																									366	USEPA	Silicate by Colorimetry		https://www.nemi.gov/methods/method_summary/4661/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM160714:SR:WB:	Sample-Routine	Water		2016-07-14	07:38:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPM					20.8084440000	-156.6196970000																															Water Bottle														as P	Total Phosphorus, mixed forms	Filtered, field	13.63	ug/l		Final		Actual																																									4500-P	APHA	4500 P ~ Phosphorus in  water and wastewater																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160630:SR:WB:	Sample-Routine	Water		2016-06-30	09:15:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPP					20.7927470000	-156.5673260000																															Water Bottle														as P	Total Phosphorus, mixed forms	Filtered, field	12.42	ug/l		Final		Actual																																									4500-P	APHA	4500 P ~ Phosphorus in  water and wastewater																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH170308:SR:WB:	Sample-Routine	Water		2017-03-08	08:59:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PLH					20.8648500000	-156.6737400000																															Water Bottle														as P	Orthophosphate	Filtered, field	8.90	ug/l		Final		Actual																																									365.5	USEPA	Orthophosphate in Water by Colorimetry		https://www.nemi.gov/methods/method_summary/7231/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB160726:SR:WB:	Sample-Routine	Water		2016-07-26	08:12:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RAB					20.9366690000	-156.6927800000																															Water Bottle														as N	Total Nitrogen, mixed forms	Filtered, field	87.42	ug/l		Final		Actual																																									4500-N	APHA	4500 N ~ 4500-N Nitrogen																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OSF160907:FM:PS:DO:	Field Msr/Obs	Water		2016-09-07	09:39:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OSF					20.8091600000	-156.6228900000																															Probe/Sensor	HACH LDO101														Dissolved oxygen (DO)		6.55	mg/l		Final		Actual																																									8157	HACH	Dissolved Oxygen in Water																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU170125:SR:WB:	Sample-Routine	Water		2017-01-25	09:45:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PPU					20.8592330000	-156.6694420000																															Water Bottle														as N	Ammonium	Filtered, field	4.72	ug/l		Final		Actual																																									350.1	USEPA	Ammonia Nitrogen by Colorimetry		https://www.nemi.gov/methods/method_summary/5405/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP160907:FM:PS:PH:	Field Msr/Obs	Water		2016-09-07	09:10:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OLP					20.8423600000	-156.6530350000																															Probe/Sensor	HACH PHC101														pH		7.97	None		Final		Actual																																									8156	HACH	pH in Water		https://www.nemi.gov/methods/method_summary/4724/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RNS170214:FM:PS:TS:	Field Msr/Obs	Water		2017-02-14	07:52:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RNS					20.9942220000	-156.6674170000																															Probe/Sensor	HACH CDC401														Temperature, water		24.2	deg C		Final		Actual																																									2550	APHA	Temperature of Water by Thermometer																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM160825:FM:PS:PH:	Field Msr/Obs	Water		2016-08-25	07:20:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPM					20.8084440000	-156.6196970000																															Probe/Sensor	HACH PHC101														pH		7.95	None		Final		Actual																																									8156	HACH	pH in Water		https://www.nemi.gov/methods/method_summary/4724/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP160824:SR:WB:	Sample-Routine	Water		2016-08-24	09:38:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OLP					20.8423600000	-156.6530350000																															Water Bottle															Silicate	Filtered, field	103.05	ug/l		Final		Actual																																									366	USEPA	Silicate by Colorimetry		https://www.nemi.gov/methods/method_summary/4661/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160616:SR:WB:	Sample-Routine	Water		2016-06-16	10:00:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPP					20.7927470000	-156.5673260000																															Water Bottle														as N	Nitrate + Nitrite	Filtered, field	3.26	ug/l		Final		Actual																																									353.4	USEPA	Determination of Nitrite and Nitrate		https://www.nemi.gov/methods/method_summary/7225/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH161019:FM:PS:PH:	Field Msr/Obs	Water		2016-10-19	08:51:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PLH					20.8648500000	-156.6737400000																															Probe/Sensor	HACH PHC101														pH		8.03	None		Final		Actual																																									8156	HACH	pH in Water		https://www.nemi.gov/methods/method_summary/4724/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF161116:SR:WB:	Sample-Routine	Water		2016-11-16	08:16:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PFF					20.8673200000	-156.6760500000																															Water Bottle													Below Method Detection Limit	as N	Ammonium	Filtered, field				Final		Actual																																									350.1	USEPA	Ammonia Nitrogen by Colorimetry		https://www.nemi.gov/methods/method_summary/5405/										Method Detection Level	<1.5	ug/l																	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM170330:SR:WB:	Sample-Routine	Water		2017-03-30	08:05:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OMM					20.8091500000	-156.6066100000																															Water Bottle														as N	Total Nitrogen, mixed forms	Filtered, field	64.89	ug/l		Final		Actual																																									4500-N	APHA	4500 N ~ 4500-N Nitrogen																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB160616:FM:PS:TS:	Field Msr/Obs	Water		2016-06-16	09:17:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OUB					20.7944800000	-156.5814200000																															Probe/Sensor	HACH CDC401														Salinity		28.1	ppt		Final		Actual																																									8160	HACH	Conductivity in Water by Direct Measurement																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLT161019:SR:WB:	Sample-Routine	Water		2016-10-19	09:13:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PLT					20.8635600000	-156.6729700000																															Water Bottle														as N	Ammonium	Filtered, field	9.78	ug/l		Final		Actual																																									350.1	USEPA	Ammonia Nitrogen by Colorimetry		https://www.nemi.gov/methods/method_summary/5405/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH170215:SR:WB:	Sample-Routine	Water		2017-02-15	08:45:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PLH					20.8648500000	-156.6737400000																															Water Bottle														as P	Orthophosphate	Filtered, field	10.03	ug/l		Final		Actual																																									365.5	USEPA	Orthophosphate in Water by Colorimetry		https://www.nemi.gov/methods/method_summary/7231/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO160728:SR:WB:	Sample-Routine	Water		2016-07-28	07:55:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OCO					20.8098600000	-156.6136900000																															Water Bottle														as N	Total Nitrogen, mixed forms	Filtered, field	64.44	ug/l		Final		Actual																																									4500-N	APHA	4500 N ~ 4500-N Nitrogen																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB170214:SR:WB:	Sample-Routine	Water		2017-02-14	09:13:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RAB					20.9366690000	-156.6927800000																															Water Bottle														as P	Orthophosphate	Filtered, field	10.48	ug/l		Final		Actual																																									365.5	USEPA	Orthophosphate in Water by Colorimetry		https://www.nemi.gov/methods/method_summary/7231/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM161215:SR:WB:	Sample-Routine	Water		2016-12-15	08:45:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OMM					20.8091500000	-156.6066100000																															Water Bottle														as P	Total Phosphorus, mixed forms	Filtered, field	9.84	ug/l		Final		Actual																																									4500-P	APHA	4500 P ~ Phosphorus in  water and wastewater																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RCB161101:FM:WB:	Field Msr/Obs	Water		2016-11-01	08:36:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RCB					20.9103470000	-156.6893820000																															Water Bottle	HACH 2100Q														Turbidity		1.38	NTU		Final		Actual																																									180.1	USEPA	Turbidity by Nephelometry		https://www.nemi.gov/methods/method_summary/5217/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH160921:SR:WB:	Sample-Routine	Water		2016-09-21	07:52:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PLH					20.8648500000	-156.6737400000																															Water Bottle															Silicate	Filtered, field	571.44	ug/l		Final		Actual																																									366	USEPA	Silicate by Colorimetry		https://www.nemi.gov/methods/method_summary/4661/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM160908:SR:WB:	Sample-Routine	Water		2016-09-08	08:00:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OMM					20.8091500000	-156.6066100000																															Water Bottle														as N	Ammonium	Filtered, field	2.10	ug/l		Final		Actual																																									350.1	USEPA	Ammonia Nitrogen by Colorimetry		https://www.nemi.gov/methods/method_summary/5405/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160728:SR:WB:	Sample-Routine	Water		2016-07-28	09:30:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPP					20.7927470000	-156.5673260000																															Water Bottle														as N	Nitrate + Nitrite	Filtered, field	1.97	ug/l		Final		Actual																																									353.4	USEPA	Determination of Nitrite and Nitrate		https://www.nemi.gov/methods/method_summary/7225/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF160615:FM:PS:PH:	Field Msr/Obs	Water		2016-06-15	07:37:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PFF					20.8673200000	-156.6760500000																															Probe/Sensor	HACH PHC101														pH		8.05	None		Final		Actual																																									8156	HACH	pH in Water		https://www.nemi.gov/methods/method_summary/4724/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO170309:FM:PS:DO:	Field Msr/Obs	Water		2017-03-09	07:50:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OCO					20.8098600000	-156.6136900000																															Probe/Sensor	HACH LDO101														Dissolved oxygen (DO)		6.26	mg/l		Final		Actual																																									8157	HACH	Dissolved Oxygen in Water																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF161214:FM:PS:PH:	Field Msr/Obs	Water		2016-12-14	08:16:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PFF					20.8673200000	-156.6760500000																															Probe/Sensor	HACH PHC101														pH		8.03	None		Final		Actual																																									8156	HACH	pH in Water		https://www.nemi.gov/methods/method_summary/4724/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP170125:SR:WB:	Sample-Routine	Water		2017-01-25	10:07:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OLP					20.8423600000	-156.6530350000																															Water Bottle														as N	Ammonium	Filtered, field	31.67	ug/l		Final		Actual																																									350.1	USEPA	Ammonia Nitrogen by Colorimetry		https://www.nemi.gov/methods/method_summary/5405/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160809:SR:WB:	Sample-Routine	Water		2016-08-09	08:52:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RWA					20.9044760000	-156.6859310000																															Water Bottle														as P	Orthophosphate	Filtered, field	6.01	ug/l		Final		Actual																																									365.5	USEPA	Orthophosphate in Water by Colorimetry		https://www.nemi.gov/methods/method_summary/7231/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OSF170215:FM:PS:TS:	Field Msr/Obs	Water		2017-02-15	10:11:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OSF					20.8091600000	-156.6228900000																															Probe/Sensor	HACH CDC401														Temperature, water		25.1	deg C		Final		Actual																																									2550	APHA	Temperature of Water by Thermometer																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA161018:SR:WB:	Sample-Routine	Water		2016-10-18	08:57:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RWA					20.9044760000	-156.6859310000																															Water Bottle														as N	Ammonium	Filtered, field	11.06	ug/l		Final		Actual																																									350.1	USEPA	Ammonia Nitrogen by Colorimetry		https://www.nemi.gov/methods/method_summary/5405/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM160630:FM:PS:TS:	Field Msr/Obs	Water		2016-06-30	08:00:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OMM					20.8091500000	-156.6066100000																															Probe/Sensor	HACH CDC401														Salinity		29.1	ppt		Final		Actual																																									8160	HACH	Conductivity in Water by Direct Measurement																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP160921:SR:WB:	Sample-Routine	Water		2016-09-21	09:05:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OLP					20.8423600000	-156.6530350000																															Water Bottle															Silicate	Filtered, field	209.47	ug/l		Final		Actual																																									366	USEPA	Silicate by Colorimetry		https://www.nemi.gov/methods/method_summary/4661/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU161102:FM:WB:	Field Msr/Obs	Water		2016-11-02	09:52:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PPU					20.8592330000	-156.6694420000																															Water Bottle	HACH 2100Q														Turbidity		1.86	NTU		Final		Actual																																									180.1	USEPA	Turbidity by Nephelometry		https://www.nemi.gov/methods/method_summary/5217/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB160614:FM:PS:DO:	Field Msr/Obs	Water		2016-06-14	09:15:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RAB					20.9366690000	-156.6927800000																															Probe/Sensor	HACH LDO101														Dissolved oxygen saturation		101.6	%		Final		Actual																																									8157	HACH	Dissolved Oxygen in Water																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH161102:FM:PS:DO:	Field Msr/Obs	Water		2016-11-02	08:56:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PLH					20.8648500000	-156.6737400000																															Probe/Sensor	HACH LDO101														Dissolved oxygen saturation		82.2	%		Final		Actual																																									8157	HACH	Dissolved Oxygen in Water																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPB161201:FM:PS:PH:	Field Msr/Obs	Water		2016-12-01	08:40:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPB					20.7938090000	-156.5752110000																															Probe/Sensor	HACH PHC101														pH		8.12	None		Final		Actual																																									8156	HACH	pH in Water		https://www.nemi.gov/methods/method_summary/4724/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM170330:FM:PS:TS:	Field Msr/Obs	Water		2017-03-30	07:20:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPM					20.8084440000	-156.6196970000																															Probe/Sensor	HACH CDC401														Salinity		34.0	ppt		Final		Actual																																									8160	HACH	Conductivity in Water by Direct Measurement																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP161006:FM:PS:TS:	Field Msr/Obs	Water		2016-10-06	09:22:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPP					20.7927470000	-156.5673260000																															Probe/Sensor	HACH CDC401														Salinity		34.9	ppt		Final		Actual																																									8160	HACH	Conductivity in Water by Direct Measurement																															STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA161213:SR:WB:	Sample-Routine	Water		2016-12-13	09:03:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RWA					20.9044760000	-156.6859310000																															Water Bottle															Silicate	Filtered, field	760.93	ug/l		Final		Actual																																									366	USEPA	Silicate by Colorimetry		https://www.nemi.gov/methods/method_summary/4661/																													STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP170217:FM:PS:PH:	Field Msr/Obs	Water		2017-02-17	09:14:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-OPP					20.7927470000	-156.5673260000																															Probe/Sensor	HACH PHC101														pH		8.15	None		Final		Actual																																									8156	HACH	pH in Water		https://www.nemi.gov/methods/method_summary/4724/																													STORET
