Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	PFF	PFF230830	2022	505 Front St	2023-08-30	10:40	SM 3	SM5	SM 5	SM 3	SM 7					PFF230830	29.4	36.1	7.22	115.7	8.10	1.77	2.18	1.75	1.90	0.128				N	0	0	0	Burned area all around except for 505 Front St white building (photo taken). Water looked surprisinginly clear. Foul water pooling in 505 Front St. parking structure. VOC/SVOC sample collected from parking structure. ENT samples taken for Surfrider.
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	PLH	PLH230830	2023	Lindsey Hale	2023-08-30	11:45	SM 3	SM5	SM 5	SM 3	SM 7					PLH230830	30.5	35.7	6.74	109.7	8.10	8.12	8.44	8.71	8.42	0.035				N	0	0	0	Area so burned, it was difficult to find site. Water brown. Hard to filter nutrient sample. Broke nutrient bottle. ENT samples taken for Surfrider. Metal sample taken. 
yes	yes	yes	no	no	126	LFR	NMS	LY	TC	RS	PLT	PLT230830	2024	Lahaina Town	2023-08-30	12:25	SM 3	SM5	SM 5	SM 3	SM 7					PLT230830	31.9	35.9	6.70	111.3	8.11	9.59	12.20	9.99	10.59	0.133				N	0	0	0	Large metal debris in water when sampling. ENT samples taken for Surfrider. Metal sample taken. 
yes	yes	yes	no	no	126	WMFR	NMS	LH	LY	LB	RCB	RCB230907	2020	Canoe Beach	2023-09-07	8:35	SM 4	SM 2	SM 6	SM 4	SM 8					RCB230907	26.9	34.7	7.00	105.5	8.13	2.80	2.88	2.69	2.79	0.034				N	0	0	0	Sunny; shorebreak; took temperature twice; 4th turbidity taken 3.45
yes	yes	yes	no	no	126	WMFR	NMS	LH	LY	LB	RWA	RWA230907	2021	Wahikuli	2023-09-07	9:10	SM 4	SM 2	SM 6	SM 4	SM 8					RWA230907	26.5	34.9	6.88	104.1	8.16	3.72	4.08	3.97	3.92	0.047				N	0	0	0	Sunny; shorebreak; brown water; took temperature twice (?)
yes	yes	yes	no	no	126	WMFR	NMS	LH	LY	CH	OCO	OCO230907	2028	Camp Olowalu	2023-09-07	9:50	SM 4	SM 2	SM 6	SM 4	SM 8					OCO230907	27.4	35.3	6.77	103.3	8.04	6.81	6.62	7.05	6.83	0.032				N	0	0	1	Sunny; small shorebreak; breeze picking up after sampling; debris on beach
yes	yes	yes	no	no	126	WMFR	NMS	LH	LY	CH	OMM	OMM230907	2029	Mile Marker 14	2023-09-07	10:10	SM 4	SM 2	SM 6	SM 4	SM 8					OMM230907	27.1	35.1	6.49	98.6	8.00	5.06	5.47	5.30	5.28	0.039				N	2	0	0	Sunny; breezy; shorebreak; no debris
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	LMT	LMT230905		Mala Tavern	2023-09-05	7:22	SM 4	SM 2	SM 6	SM 4	SM 8					LMT230905	26.1	35.0	6.80	101.4	7.99	2.21	1.82	1.66	1.90	0.149				N	0	0	0	Read pH twice to confirm; rot smell from Mala Tavern; tide falling next low will be at 12:39 pm
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	LMR	LMR230905		Mala Ramp	2023-09-05	7:51	SM 4	SM 2	SM 6	SM 4	SM 8					LMR230905	26.7	34.5	6.51	97.6	8.07	5.38	6.52	6.89	6.26	0.126				Y	0	0	0	Water brown; visible ash and debris
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	LPS	LPS230905		Papalaua St.	2023-09-05	8:19	SM 4	SM 2	SM 6	SM 4	SM 8					LPS230905	26.7	35.2	6.77	102.1	8.04	2.33	2.72	3.21	2.75	0.160				N	0	0	0	
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	LLH	LLH230905		Lahaina Harbor	2023-09-05	8:44	SM 4	SM 2	SM 6	SM 4	SM 8					LLH230905	27.4	35.0	5.87	89.8	8.08	0.81	0.73	0.78	0.77	0.052				N	0	0	0	Much less oil and ash in harbor and sample water
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	PFF	PFF230905	2022	505 Front St	2023-09-05	9:13	SM 4	SM 2	SM 6	SM 4	SM 8					PFF230905	27.7	35.3	6.68	103.3	8.11	2.51	3.27	2.83	2.87	0.133				N	0	0	0	Small shorebreak; sunny; no clouds; light breeze; same amount of water in flooded parking lot as last week
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	PLH	PLH230905	2023	Lindsey Hale	2023-09-05	9:55	SM 4	SM 2	SM 6	SM 4	SM 8					PLH230905	28.4	35.1	6.49	101.3	8.06	19.00	22.20	22.00	21.07	0.085				N	0	0	0	Brown water; fine sediment; sand in sample; multiple schools of fish; 4th turbidity taken 16.4
yes	yes	yes	no	no	126	LFR	NMS	TC	LY	JK	PLT	PLT230905	2024	Lahaina Town	2023-09-05	10:16	SM 4	SM 2	SM 6	SM 4	SM 8					PLT230905	28.7	34.7	6.52	101.8	8.06	61.40	61.10	59.20	60.57	0.020				N	0	0	0	Extremely brown water; lots of large debris in water near sample collection
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	LMT	LMT230914		Mala Tavern	2023-09-14	7:33	SM 4	SM 2	SM 6	SM 4	SM 8					LMT230914	26.2	34.6	6.73	100.3	7.97	1.29	1.22	1.54	1.35	0.125				Y	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am; trickle of water inflow from storm drain
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	LMR	LMR230914		Mala Ramp	2023-09-14	7:57	SM 4	SM 2	SM 6	SM 4	SM 8					LMR230914	26.9	34.3	6.35	95.5	8.08	3.07	3.35	3.90	3.44	0.123				Y	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am; stream flowing; boom replaced; sunny; hot; light breeze just starting
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	LPS	LPS230914		Papalaua St.	2023-09-14	8:19	SM 4	SM 2	SM 6	SM 4	SM 8					LPS230914	27.0	34.6	6.62	100.2	8.09	3.61	3.58	4.07	3.75	0.073				N	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	LLH	LLH230914		Lahaina Harbor	2023-09-14	8:45	SM 4	SM 2	SM 6	SM 4	SM 8					LLH230914	27.9	35.1	6.17	95.2	8.10	0.52	0.66	0.76	0.65	0.186				N	0	5	0	Sprinkles of rain along West Maui; low tide at 7:52 am; US Coast Guard surveying for deris removal; only slight oil sheen on harbor water surface
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	PFF	PFF230914	2022	505 Front St	2023-09-14	9:10	SM 4	SM 2	SM 6	SM 4	SM 8					PFF230914	27.6	35.0	6.90	105.8	8.08	0.96	1.05	1.19	1.07	0.109				N	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	PLH	PLH230914	2023	Lindsey Hale	2023-09-14	9:35	SM 4	SM 2	SM 6	SM 4	SM 8					PLH230914	28.1	34.7	6.69	103.6	8.05	2.33	2.24	2.11	2.23	0.050				N	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am
yes	yes	yes	no	no	127	LFR	NMS	LY	TC	JK	PLT	PLT230914	2024	Lahaina Town	2023-09-14	9:50	SM 4	SM 2	SM 6	SM 4	SM 8					PLT230914	28.5	34.5	6.47	100.4	8.05	3.76	4.22	4.06	4.01	0.058				N	0	0	0	Sprinkles of rain along West Maui; low tide at 7:52 am; monk seal; less visible turbidity; hot outside
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	LMT	LMT230921		Mala Tavern	2023-09-21	7:31	SM 3	SM 5	SM 5	SM 3	SM 7					LMT230921	26.4	35.4	6.57	98.6	7.98	1.69	1.83	1.64	1.72	0.057				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF; Higher/bigger shorebreak; turtles in the water; cloud cover; 4th turbidity taken 4.03; 5th turbidity taken 2.79
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	LMR	LMR230921		Mala Ramp	2023-09-21	8:14	SM 3	SM 5	SM 5	SM 3	SM 7					LMR230921	26.6	35.2	6.18	93.2	8.05	3.74	4.10	4.68	4.17	0.114				Y	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF; Small stream flow about 3 ft wide
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	LPS	LPS230921		Papalaua St.	2023-09-21	8:38	SM 3	SM 5	SM 5	SM 3	SM 7					LPS230921	26.4	35.7	6.36	95.9	8.02	3.98	4.78	4.09	4.28	0.101				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF;  Wind picking up then died down again; some swell coming in
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	LLH	LLH230921		Lahaina Harbor	2023-09-21	9:05	SM 3	SM 5	SM 5	SM 3	SM 7					LLH230921	27.2	35.7	5.73	87.7	8.08	0.68	0.61	0.65	0.65	0.054				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF;  New booms around the harbor perimeter next to water; USCG excavating debris from harbor water
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	PFF	PFF230921	2022	505 Front St	2023-09-21	9:38	SM 3	SM 5	SM 5	SM 3	SM 7					PFF230921	26.9	36.0	6.32	96.5	8.12	2.65	2.81	2.70	2.72	0.030				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF;  Flooding in parking lot looks the same, maybe some receding; photo taken; water brown at shoreline; cloud cover; 4th turbidity taken 4.29
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	PLH	PLH230921	2023	Lindsey Hale	2023-09-21	10:01	SM 3	SM 5	SM 5	SM 3	SM 7					PLH230921	26.7	35.7	6.34	96.3	8.10	17.50	17.20	16.80	17.17	0.020				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF; water very brown; sunny
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	JK	PLT	PLT230921	2024	Lahaina Town	2023-09-21	10:29	SM 3	SM 5	SM 5	SM 3	SM 7					PLT230921	27.2	35.3	6.26	96.2	8.04	25.60	31.20	29.70	28.83	0.101				N	0	0	0	High tide at 8:33 am 2.2 ft high; ENT samples taken at all sires for Surfrider BWTF; very brown water; Hawaii Electric Co. doing work/excavation next to mobile lab
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	KG	RCB	RCB230922	2020	Canoe Beach	2023-09-22	8:25	SM 3	SM 5	SM 5	SM 3	SM 7					RCB230922	26.2	35.6	6.75	101.2	8.16	2.45	2.67	2.66	2.59	0.048				N	0	3	0	Rocky beach; small rolling rocks coming back; calm day; sprinkling; onshore breezy
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	KG	RWA	RWA230922	2021	Wahikuli	2023-09-22	9:00	SM 3	SM 5	SM 5	SM 3	SM 7					RWA230922	26.7	35.8	6.57	99.4	8.16	0.62	0.59	0.67	0.63	0.064				N	0	0	0	Rotten egg/sulfur smell within 100 ft; light wave action; breezy
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	MG	OCO	OCO230922	2028	Camp Olowalu	2023-09-22	9:34	SM 3	SM 5	SM 5	SM 3	SM 7					OCO230922	25.6	35.9	6.56	97.8	8.04	7.49	8.11	7.85	7.82	0.040				N	0	0	0	Breezy; seems like high tide
yes	yes	yes	no	no	127	LFR	NMS	LY	CK	MG	OMM	OMM230922	2029	Mile Marker 14	2023-09-22	9:54	SM 3	SM 5	SM 5	SM 3	SM 7					OMM230922	26.3	36.0	5.95	89.7	8.02	3.07	3.10	2.95	3.04	0.026				N	0	1	2	Windy; calm
