Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Last Changed
HUIWAIOLA_WQX	KCP	Cove Park	KCP180220:FM:PS:PH:	02-20-2018	Field Msr/Obs	Water		08-09-2021 8:01:39 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180220:FM:PS:TS:	02-20-2018	Field Msr/Obs	Water		08-09-2021 8:01:39 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180220:FM:WB:	02-20-2018	Field Msr/Obs	Water		08-09-2021 8:01:39 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180220:SR:WB:	02-20-2018	Sample-Routine	Water		08-09-2021 8:01:39 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180306:FM:PS:DO:	03-06-2018	Field Msr/Obs	Water		08-09-2021 8:01:46 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180306:FM:PS:PH:	03-06-2018	Field Msr/Obs	Water		08-09-2021 8:01:46 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180306:FM:PS:TS:	03-06-2018	Field Msr/Obs	Water		08-09-2021 8:01:46 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180306:FM:WB:	03-06-2018	Field Msr/Obs	Water		08-09-2021 8:01:46 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180306:SR:WB:	03-06-2018	Sample-Routine	Water		08-09-2021 8:01:46 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:FM:PS:DO:	03-20-2018	Field Msr/Obs	Water		08-09-2021 8:01:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:FM:PS:PH:	03-20-2018	Field Msr/Obs	Water		08-09-2021 8:01:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:FM:PS:TS:	03-20-2018	Field Msr/Obs	Water		08-09-2021 8:01:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:FM:WB:	03-20-2018	Field Msr/Obs	Water		08-09-2021 8:01:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:SR:WB:	03-20-2018	Sample-Routine	Water		08-09-2021 8:01:53 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:FM:PS:DO:	04-03-2018	Field Msr/Obs	Water		08-09-2021 8:01:56 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:FM:PS:PH:	04-03-2018	Field Msr/Obs	Water		08-09-2021 8:01:56 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:FM:PS:TS:	04-03-2018	Field Msr/Obs	Water		08-09-2021 8:01:56 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:FM:WB:	04-03-2018	Field Msr/Obs	Water		08-09-2021 8:01:56 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:SR:WB:	04-03-2018	Sample-Routine	Water		08-09-2021 8:01:56 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:FM:PS:DO:	04-17-2018	Field Msr/Obs	Water		08-09-2021 8:02:02 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:FM:PS:PH:	04-17-2018	Field Msr/Obs	Water		08-09-2021 8:02:02 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:FM:PS:TS:	04-17-2018	Field Msr/Obs	Water		08-09-2021 8:02:02 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:FM:WB:	04-17-2018	Field Msr/Obs	Water		08-09-2021 8:02:02 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:SR:WB:	04-17-2018	Sample-Routine	Water		08-09-2021 8:02:02 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:FM:PS:DO:	05-01-2018	Field Msr/Obs	Water		08-09-2021 8:02:09 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:FM:PS:PH:	05-01-2018	Field Msr/Obs	Water		08-09-2021 8:02:09 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:FM:PS:TS:	05-01-2018	Field Msr/Obs	Water		08-09-2021 8:02:09 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:FM:WB:	05-01-2018	Field Msr/Obs	Water		08-09-2021 8:02:09 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:SR:WB:	05-01-2018	Sample-Routine	Water		08-09-2021 8:02:09 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:FM:PS:DO:	05-15-2018	Field Msr/Obs	Water		08-09-2021 8:02:13 AM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:FM:PS:PH:	05-15-2018	Field Msr/Obs	Water		08-09-2021 8:02:13 AM
