OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	ActivityTypeCode	ActivityMediaName	ActivityMediaSubdivisionName	ActivityStartDate	ActivityStartTime/Time	ActivityStartTime/TimeZoneCode	ActivityEndDate	ActivityEndTime/Time	ActivityEndTime/TimeZoneCode	ActivityDepthHeightMeasure/MeasureValue	ActivityDepthHeightMeasure/MeasureUnitCode	ActivityDepthAltitudeReferencePointText	ActivityTopDepthHeightMeasure/MeasureValue	ActivityTopDepthHeightMeasure/MeasureUnitCode	ActivityBottomDepthHeightMeasure/MeasureValue	ActivityBottomDepthHeightMeasure/MeasureUnitCode	ProjectIdentifier	ActivityConductingOrganizationText	MonitoringLocationIdentifier	ActivityCommentText	SampleAquifer	HydrologicCondition	HydrologicEvent	SampleCollectionMethod/MethodIdentifier	SampleCollectionMethod/MethodIdentifierContext	SampleCollectionMethod/MethodName	SampleCollectionEquipmentName	ResultDetectionConditionText	CharacteristicName	ResultSampleFractionText	ResultMeasureValue	ResultMeasure/MeasureUnitCode	MeasureQualifierCode	ResultStatusIdentifier	StatisticalBaseCode	ResultValueTypeName	ResultWeightBasisText	ResultTimeBasisText	ResultTemperatureBasisText	ResultParticleSizeBasisText	PrecisionValue	ResultCommentText	USGSPCode	ResultDepthHeightMeasure/MeasureValue	ResultDepthHeightMeasure/MeasureUnitCode	ResultDepthAltitudeReferencePointText	SubjectTaxonomicName	SampleTissueAnatomyName	ResultAnalyticalMethod/MethodIdentifier	ResultAnalyticalMethod/MethodIdentifierContext	ResultAnalyticalMethod/MethodName	MethodDescriptionText	LaboratoryName	AnalysisStartDate	ResultLaboratoryCommentText	DetectionQuantitationLimitTypeName	DetectionQuantitationLimitMeasure/MeasureValue	DetectionQuantitationLimitMeasure/MeasureUnitCode	PreparationStartDate	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RCB160614T	Field Msr/Obs	Water		2016-06-14	09:50:00	HAST											EPABEACH;HUI_PCHEM		HUIWAIOLA_WQX-RCB										Temperature, water		27.2	deg C		Final		Actual													2550	APHA	Temperature of Water by Thermometer									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RNS170912TP	Sample-Routine	Water		2017-09-12	07:56:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RNS					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	16.52	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP170913NNN	Sample-Routine	Water		2017-09-13	09:15:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OLP					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	2.39	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPB170330-N-1NN	Sample-Routine	Water		2017-03-30	09:00:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPB					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	3.02990536277603	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PLT170329	Field Msr/Obs	Water		2017-03-29	09:10:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PLT										Temperature, water		26.3	deg C		Final		Actual													2550	APHA	Temperature of Water by Thermometer									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RCB170328-N-1P	Sample-Routine	Water		2017-03-28	09:02:00	HAST											EPABEACH;HUI_PCHEM		HUIWAIOLA_WQX-RCB					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphate-phosphorus	Dissolved	9.49308746223873	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP160907T	Field Msr/Obs	Water		2016-09-07	09:10:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OLP										Temperature, water		27.8	deg C		Final		Actual													2550	APHA	Temperature of Water by Thermometer									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPM170126NNN	Sample-Routine	Water		2017-01-26	07:20:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPM					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	6.87	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PLT161214TP	Sample-Routine	Water		2016-12-14	09:18:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PLT					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	13.58	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PPU161116Si	Sample-Routine	Water		2016-11-16	09:30:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PPU					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Silicate	Dissolved	191.28	ug/l		Final		Actual													366	USEPA	Silicate by Colorimetry	https://www.nemi.gov/methods/method_summary/4661/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OCO161215DO	Field Msr/Obs	Water		2016-12-15	08:25:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OCO										Dissolved oxygen (DO)		6.08	mg/l		Final		Actual													8157	HACH	Dissolved Oxygen in Water									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP161116Si	Sample-Routine	Water		2016-11-16	10:15:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OLP					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Silicate	Dissolved	165.01	ug/l		Final		Actual													366	USEPA	Silicate by Colorimetry	https://www.nemi.gov/methods/method_summary/4661/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PLT161130S	Field Msr/Obs	Water		2016-11-30	08:24:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PLT										Conductivity		34	ppt		Final		Actual													8160	HACH	Conductivity in Water by Direct Measurement									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPB170217S	Field Msr/Obs	Water		2017-02-17	08:50:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPB										Conductivity		35.3	ppt		Final		Actual													8160	HACH	Conductivity in Water by Direct Measurement									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OCO161117NNN	Sample-Routine	Water		2016-11-17	08:05:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OCO					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	6.76	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PPU161214pH	Field Msr/Obs	Water		2016-12-14	09:35:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PPU										pH		8.08	None		Final		Actual													8156	HACH	pH in Water	https://www.nemi.gov/methods/method_summary/4724/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RAB161129pH	Field Msr/Obs	Water		2016-11-29	07:41:00	HAST											EPABEACH;HUI_PCHEM		HUIWAIOLA_WQX-RAB										pH		8.14	None		Final		Actual													8156	HACH	pH in Water	https://www.nemi.gov/methods/method_summary/4724/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PLT161214NNN	Sample-Routine	Water		2016-12-14	09:18:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PLT					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	45.98	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP161214S	Field Msr/Obs	Water		2016-12-14	09:54:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OLP										Conductivity		34.6	ppt		Final		Actual													8160	HACH	Conductivity in Water by Direct Measurement									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RKS170103NNN	Sample-Routine	Water		2017-01-03	09:10:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RKS					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	11.97	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA161101NNN	Sample-Routine	Water		2016-11-01	08:55:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RWA					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	14.07	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPB161201TP	Sample-Routine	Water		2016-12-01	07:15:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPB					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	5.93	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPM161215T	Field Msr/Obs	Water		2016-12-15	08:05:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPM										Temperature, water		23.4	deg C		Final		Actual													2550	APHA	Temperature of Water by Thermometer									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OSF160810NH4	Sample-Routine	Water		2016-08-10	08:56:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OSF					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Ammonia-nitrogen	Dissolved	3.61	ug/l		Final		Actual													350.1	USEPA	Ammonia Nitrogen by Colorimetry	https://www.nemi.gov/methods/method_summary/5405/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA160809NNN	Sample-Routine	Water		2016-08-09	08:52:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RWA					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	7.89	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RAB160823PO4	Sample-Routine	Water		2016-08-23	08:08:00	HAST											EPABEACH;HUI_PCHEM		HUIWAIOLA_WQX-RAB					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphate-phosphorus	Dissolved	7.32	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PLT160907TP	Sample-Routine	Water		2016-09-07	08:46:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PLT					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	11.37	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP160824NNN	Sample-Routine	Water		2016-08-24	10:00:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OLP					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	2.59	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PFF160713DOp	Field Msr/Obs	Water		2016-07-13	07:35:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PFF										Dissolved oxygen (DO)		90.6	%		Final		Actual													8157	HACH	Dissolved Oxygen in Water									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PFF160824NNN	Sample-Routine	Water		2016-08-24	07:32:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PFF					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	4.31	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RPO160906TP	Sample-Routine	Water		2016-09-06	07:21:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RPO					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	18.44	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RCB160823NH4	Sample-Routine	Water		2016-08-23	08:28:00	HAST											EPABEACH;HUI_PCHEM		HUIWAIOLA_WQX-RCB					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Ammonia-nitrogen	Dissolved	2.08	ug/l		Final		Actual													350.1	USEPA	Ammonia Nitrogen by Colorimetry	https://www.nemi.gov/methods/method_summary/5405/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RKS160628TN	Sample-Routine	Water		2016-06-28	07:54:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RKS					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrogen	Dissolved	75.12	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP160811DOp	Field Msr/Obs	Water		2016-08-11	09:40:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPP										Dissolved oxygen (DO)		109.9	%		Final		Actual													8157	HACH	Dissolved Oxygen in Water									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PFF160810S	Field Msr/Obs	Water		2016-08-10	07:26:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PFF										Conductivity		34.6	ppt		Final		Actual													8160	HACH	Conductivity in Water by Direct Measurement									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPM160714NH4	Sample-Routine	Water		2016-07-13	07:38:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPM					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Ammonia-nitrogen	Dissolved	2.21	ug/l		Final		Actual													350.1	USEPA	Ammonia Nitrogen by Colorimetry	https://www.nemi.gov/methods/method_summary/5405/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP160810T	Field Msr/Obs	Water		2016-08-10	08:56:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OLP										Temperature, water		28.2	deg C		Final		Actual													2550	APHA	Temperature of Water by Thermometer									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RKS161018DO	Field Msr/Obs	Water		2016-10-18	08:02:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RKS										Dissolved oxygen (DO)		6.31	mg/l		Final		Actual													8157	HACH	Dissolved Oxygen in Water									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP161006NH4	Sample-Routine	Water		2016-10-06	09:22:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPP					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Ammonia-nitrogen	Dissolved	7.04	ug/l		Final		Actual													350.1	USEPA	Ammonia Nitrogen by Colorimetry	https://www.nemi.gov/methods/method_summary/5405/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP161020Si	Sample-Routine	Water		2016-10-20	09:10:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPP					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Silicate	Dissolved	185.87	ug/l		Final		Actual													366	USEPA	Silicate by Colorimetry	https://www.nemi.gov/methods/method_summary/4661/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP161006TN	Sample-Routine	Water		2016-10-06	09:22:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPP					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrogen	Dissolved	55.67	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OMM161103TN	Sample-Routine	Water		2016-11-03	08:00:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OMM					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrogen	Dissolved	57.79	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RPO160920PO4	Sample-Routine	Water		2016-09-20	07:15:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RPO					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphate-phosphorus	Dissolved	11.33	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OSF161005TP	Sample-Routine	Water		2016-10-05	10:00:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OSF					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	8.94	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RKS161018Si	Sample-Routine	Water		2016-10-18	08:02:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RKS					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Silicate	Dissolved	368.37	ug/l		Final		Actual													366	USEPA	Silicate by Colorimetry	https://www.nemi.gov/methods/method_summary/4661/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OUB160922NNN	Sample-Routine	Water		2016-09-22	08:50:00	HAST											EPABEACH;HUI_PCHEM		HUIWAIOLA_WQX-OUB					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrate	Dissolved	4.86	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PLT161005TP	Sample-Routine	Water		2016-10-05	09:10:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PLT					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	12.27	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPM161006T	Field Msr/Obs	Water		2016-10-06	07:30:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPM										Temperature, water		26.7	deg C		Final		Actual													2550	APHA	Temperature of Water by Thermometer									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OUB161103pH	Field Msr/Obs	Water		2016-11-03	08:20:00	HAST											EPABEACH;HUI_PCHEM		HUIWAIOLA_WQX-OUB										pH		8.15	None		Final		Actual													8156	HACH	pH in Water	https://www.nemi.gov/methods/method_summary/4724/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP161102TP	Sample-Routine	Water		2016-11-02	10:46:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OLP					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	6.68	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPB160922TN	Sample-Routine	Water		2016-09-22	09:07:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPB					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Nitrogen	Dissolved	67.81	ug/l		Final		Actual													353.3	USEPA	Nitrate-Nitrite Nitrogen by Cd Reduction	https://www.nemi.gov/methods/method_summary/5251/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OUB160616TP	Sample-Routine	Water		2016-06-16	09:00:00	HAST											EPABEACH;HUI_PCHEM		HUIWAIOLA_WQX-OUB					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	16.77	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP160616TP	Sample-Routine	Water		2016-06-16	10:00:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPP					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Phosphorus	Dissolved	20.4	ug/l		Final		Actual													365.1	USEPA	Phosphorus by Colorimetry	https://www.nemi.gov/methods/method_summary/4823/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OCO160630T	Field Msr/Obs	Water		2016-06-30	07:33:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OCO										Temperature, water		27.7	deg C		Final		Actual													2550	APHA	Temperature of Water by Thermometer									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP160629DO	Field Msr/Obs	Water		2016-06-29	10:04:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OLP										Dissolved oxygen (DO)		6.6	mg/l		Final		Actual													8157	HACH	Dissolved Oxygen in Water									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OSF170217Si	Sample-Routine	Water		2017-02-17	09:30:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OSF					1002	HUIWAIOLA_WQX	Knee Deep Grab Sample	Water Bottle		Silicate	Dissolved	150.71	ug/l		Final		Actual													366	USEPA	Silicate by Colorimetry	https://www.nemi.gov/methods/method_summary/4661/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP170309T	Field Msr/Obs	Water		2017-03-09	08:45:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPP										Temperature, water		25.4	deg C		Final		Actual													2550	APHA	Temperature of Water by Thermometer									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RNS170307DO	Field Msr/Obs	Water		2017-03-07	07:40:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RNS										Dissolved oxygen (DO)		6.75	mg/l		Final		Actual													8157	HACH	Dissolved Oxygen in Water									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPB170309DO	Field Msr/Obs	Water		2017-03-09	08:30:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OPB										Dissolved oxygen (DO)		6.91	mg/l		Final		Actual													8157	HACH	Dissolved Oxygen in Water									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PLH170308pH	Field Msr/Obs	Water		2017-03-08	08:59:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PLH										pH		8.1	None		Final		Actual													8156	HACH	pH in Water	https://www.nemi.gov/methods/method_summary/4724/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OSF170329TB	Field Msr/Obs	Water		2017-03-29	10:36:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OSF										Turbidity		2.18	NTU		Final		Actual													180.1	USEPA	Turbidity by Nephelometry	https://www.nemi.gov/methods/method_summary/5217/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OCO170420T	Field Msr/Obs	Water		2017-04-20	07:10:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OCO										Temperature, water		27.1	deg C		Final		Actual													2550	APHA	Temperature of Water by Thermometer									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RKS170418pH	Field Msr/Obs	Water		2017-04-18	07:30:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-RKS										pH		8.22	None		Final		Actual													8156	HACH	pH in Water	https://www.nemi.gov/methods/method_summary/4724/								STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PLH170913DOp	Field Msr/Obs	Water		2017-09-13	08:43:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-PLH										Dissolved oxygen (DO)		99.3	%		Final		Actual													8157	HACH	Dissolved Oxygen in Water									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OSF170913S	Field Msr/Obs	Water		2017-09-13	09:33:00	HAST											HUI_PCHEM		HUIWAIOLA_WQX-OSF										Conductivity		34.9	ppt		Final		Actual													8160	HACH	Conductivity in Water by Direct Measurement									STORET
