Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Last Changed
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161006:FM:PS:DO:	10-06-2016	Field Msr/Obs	Water		11-27-2020 3:31:00 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161006:FM:PS:PH:	10-06-2016	Field Msr/Obs	Water		11-27-2020 3:31:00 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161006:FM:PS:TS:	10-06-2016	Field Msr/Obs	Water		11-27-2020 3:31:00 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161006:FM:WB:	10-06-2016	Field Msr/Obs	Water		11-27-2020 3:31:00 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161006:SR:WB:	10-06-2016	Sample-Routine	Water		11-27-2020 3:31:00 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161020:FM:PS:DO:	10-20-2016	Field Msr/Obs	Water		11-27-2020 3:31:01 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161020:FM:PS:PH:	10-20-2016	Field Msr/Obs	Water		11-27-2020 3:31:01 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161020:FM:PS:TS:	10-20-2016	Field Msr/Obs	Water		11-27-2020 3:31:01 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161020:FM:WB:	10-20-2016	Field Msr/Obs	Water		11-27-2020 3:31:01 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161020:SR:WB:	10-20-2016	Sample-Routine	Water		11-27-2020 3:31:01 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161103:FM:PS:DO:	11-03-2016	Field Msr/Obs	Water		11-27-2020 3:31:02 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161103:FM:PS:PH:	11-03-2016	Field Msr/Obs	Water		11-27-2020 3:31:02 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161103:FM:PS:TS:	11-03-2016	Field Msr/Obs	Water		11-27-2020 3:31:02 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161103:FM:WB:	11-03-2016	Field Msr/Obs	Water		11-27-2020 3:31:02 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161103:SR:WB:	11-03-2016	Sample-Routine	Water		11-27-2020 3:31:02 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161117:FM:PS:DO:	11-17-2016	Field Msr/Obs	Water		11-27-2020 3:31:03 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161117:FM:PS:PH:	11-17-2016	Field Msr/Obs	Water		11-27-2020 3:31:03 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161117:FM:PS:TS:	11-17-2016	Field Msr/Obs	Water		11-27-2020 3:31:03 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161117:FM:WB:	11-17-2016	Field Msr/Obs	Water		11-27-2020 3:31:03 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161117:SR:WB:	11-17-2016	Sample-Routine	Water		11-27-2020 3:31:03 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161201:FM:PS:DO:	12-01-2016	Field Msr/Obs	Water		11-27-2020 3:31:04 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161201:FM:PS:PH:	12-01-2016	Field Msr/Obs	Water		11-27-2020 3:31:04 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161201:FM:PS:TS:	12-01-2016	Field Msr/Obs	Water		11-27-2020 3:31:04 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161201:FM:WB:	12-01-2016	Field Msr/Obs	Water		11-27-2020 3:31:04 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161201:SR:WB:	12-01-2016	Sample-Routine	Water		11-27-2020 3:31:04 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161215:FM:PS:DO:	12-15-2016	Field Msr/Obs	Water		11-27-2020 3:31:05 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO161215:FM:PS:PH:	12-15-2016	Field Msr/Obs	Water		11-27-2020 3:31:05 PM
