OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NKA,Kaa point,Ocean,,20020000,,,,,20.8982540000,-156.4472800000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NKC,Kahului Harbor Canoe Hale,Ocean,,20020000,,,,,20.8921190000,-156.4694840000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NKN,Kailua nui,Ocean,,20020000,,,,,20.9138370000,-156.3936910000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NKW,Kahului WWRF,Ocean,,20020000,,,,,20.8970780000,-156.4562640000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NME,MECO,Ocean,,20020000,,,,,20.7970230000,-156.4942850000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NMG,McGregor Point,Ocean,,20020000,,,,,20.7773060000,-156.5223180000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NPA,Papaula,Ocean,,20020000,,,,,20.9083970000,-156.4276440000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NSB,Beach,Ocean,,20020000,,,,,20.7850010000,-156.5162670000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NSC,Sugar Cove,Ocean,,20020000,,,,,20.9093650000,-156.4093010000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NWA,Wawau,Ocean,,20020000,,,,,20.9127100000,-156.4031400000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NWG,Waiehu Golf course,Ocean,,20020000,,,,,20.9278780000,-156.4954960000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NWI,Wailuku stream,Ocean,,20020000,,,,,20.9104980000,-156.4847070000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NWK,Waihee Kalepa,Ocean,,20020000,,,,,20.9338920000,-156.5032230000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-NWS,Waiehu stream,Ocean,,20020000,,,,,20.9183570000,-156.4918160000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OBR,Ukumehame Bridge,Ocean,,20020000,,,,,20.7998300000,-156.5924400000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OCO,Camp Olowalu,Ocean,,20020000,,,,,20.8098600000,-156.6136900000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OLP,Launiupoko,Ocean,,20020000,,,,,20.8423600000,-156.6530350000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OMM,Mile Marker 14,Ocean,,20020000,,,,,20.8091500000,-156.6066100000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OPB,Papalaua,Ocean,,20020000,,,,,20.7934800000,-156.5749200000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OPM,Peter Martin Hale,Ocean,,20020000,,,,,20.8084440000,-156.6196970000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OPP,Papalaua Pali,Ocean,,20020000,,,,,20.7926900000,-156.5687200000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
HUIWAIOLA_WQX,The Nature Conservancy - Honolulu,HUIWAIOLA_WQX-OSB,Olowalu surf break,Ocean,,20020000,,,,,20.8237800000,-156.6315000000,,,,GPS-Unspecified,WGS84,,,,,,,US,15,009,,,,,,,,,STORET
