Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NHP	NHP180405		Haycraft Park	2018-04-05	8:13	1	1	1	1	1	19	8	4	Kona	NHP180405	25.4	32.7	6.53	95.5	8.04	6.73	5.14	6.09	5.99	0.134		1	6		3	7	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NKP	NKP180405		Kealia Pond	2018-04-05	8:42	1	1	1	1	1	19	8	4	Kona	NKP180405	25.7	33.9	6.74	99.8	8.14	5.38	6.18	5.72	5.76	0.070		2	5		0	0	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NSB	NSB180405		Sugar Beach	2018-04-05	9:00	1	1	1	1	1	19	8	4	Kona	NSB180405	26.0	34.3	6.67	99.6	8.14	5.69	5.7	5.87	5.75	0.018		2	4		0	1	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NKC	NKC180405		Kihei Canoe Club	2018-04-05	9:22	1	1	1	1	1	19	8	4	Kona	NKC180405	26.3	34.0	6.69	100.3	8.15	5.40	5.97	5.77	5.71	0.051		3	4		4	0	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NMP	NMP180405		Mai Poina Oe Iau	2018-04-05	9:35	1	1	1	1	1	19	8	4	Kona	NMP180405	26.8	32.8	6.61	99.3	8.12	28.50	28.8	27.60	28.30	0.022		2	3		0	9	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NKN	NKN180405		Kalepolepo North	2018-04-05	9:51	1	1	1	1	1	19	8	4	Kona	NKN180405	27.0	32.5	6.32	95.0	8.12	34.80	32.4	32.00	33.07	0.046		2	3		6	2	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NHP	NHP180419		Haycraft Park	2018-04-19	8:10	2	2	2	2	2	4	7	1	Trades	NHP180419	24.8	34.6	6.76	99.2	8.14	2.26	3.04	2.68	2.66	0.147		1	2		0	1	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NKP	NKP180419		Kealia Pond	2018-04-19	8:40	2	2	2	2	2	4	7	1	Trades	NKP180419	24.8	35.0	6.74	98.9	8.18	2.82	3.96	2.77	3.18	0.211		1	2		0	1	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NSB	NSB180419		Sugar Beach	2018-04-19	9:05	2	2	2	2	2	4	7	1	Trades	NSB180419	25.4	34.7	6.65	98.5	8.16	3.62	4.16	3.92	3.90	0.069		1	2		3	14	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NKC	NKC180419		Kihei Canoe Club	2018-04-19	9:20	2	2	2	2	2	4	7	1	Trades	NKC180419	25.8	34.2	6.68	99.3	8.15	2.37	3.3	2.31	2.66	0.209		1	2		0	8	0	
