																																
Pre Ver Date	Pre Ver Time	Post Ver Date	Post Ver Time	Sal Inst	Sal Meter	Sal Probe	Sal Std (ppt)	Sal Std Range	Sal Pre Zero	Sal Pre Val	Sal Post Zero	Sal Post Val	DO Inst	DO Display Ser No.	DO Probe Ser No.	DO Std (%)	DO Val Range	DO Pre Val (%)	DO Post Val (%)	pH Inst	pH Display Ser No.	pH Probe Ser No.	pH Pre Neutral (7)	pH Pre Basic (10)	pH Post Neutral (7)	pH Post Basic (10)	Temp Inst	Temp Pre Std (°C)	Temp Post Std	Temp Pre Val	Temp Post Val	Temp Range
6/19/17	10:15 AM	6/23/2017	12:00	Hach 40d	1	2	35	38.57	0.04	34.9	0.04	33.4	Hach 40d	1	1	100	105	101.2	101.8	Hach 40d	1	4	7	10.01	7.01	9.97	NIST	26.5	26.5	26.6	26.7	27.5
10/2/17	10:00	10/13/17	12:20	Hach 40d	1	3	35		0.04	34.9	0.04	35	Hach 40d	1	2	100		98.9	99.4	Hach 40d	1	4	7	10.01	7.02	10	M-1, S-3	28	27.3	27.8	27.1	
