Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Last Changed
HUIWAIOLA_WQX	KCP	Cove Park	KCP180306:FM:PS:TS:	03-06-2018	Field Msr/Obs	Water		12-14-2020 8:18:47 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180306:FM:WB:	03-06-2018	Field Msr/Obs	Water		12-14-2020 8:18:47 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180306:SR:WB:	03-06-2018	Sample-Routine	Water		12-14-2020 8:18:47 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:FM:PS:DO:	03-20-2018	Field Msr/Obs	Water		12-14-2020 8:18:51 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:FM:PS:PH:	03-20-2018	Field Msr/Obs	Water		12-14-2020 8:18:51 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:FM:PS:TS:	03-20-2018	Field Msr/Obs	Water		12-14-2020 8:18:51 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:FM:WB:	03-20-2018	Field Msr/Obs	Water		12-14-2020 8:18:51 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180320:SR:WB:	03-20-2018	Sample-Routine	Water		12-14-2020 8:18:51 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:FM:PS:DO:	04-03-2018	Field Msr/Obs	Water		12-14-2020 8:18:53 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:FM:PS:PH:	04-03-2018	Field Msr/Obs	Water		12-14-2020 8:18:53 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:FM:PS:TS:	04-03-2018	Field Msr/Obs	Water		12-14-2020 8:18:53 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:FM:WB:	04-03-2018	Field Msr/Obs	Water		12-14-2020 8:18:53 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180403:SR:WB:	04-03-2018	Sample-Routine	Water		12-14-2020 8:18:53 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:FM:PS:DO:	04-17-2018	Field Msr/Obs	Water		12-14-2020 8:18:56 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:FM:PS:PH:	04-17-2018	Field Msr/Obs	Water		12-14-2020 8:18:57 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:FM:PS:TS:	04-17-2018	Field Msr/Obs	Water		12-14-2020 8:18:56 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:FM:WB:	04-17-2018	Field Msr/Obs	Water		12-14-2020 8:18:56 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180417:SR:WB:	04-17-2018	Sample-Routine	Water		12-14-2020 8:18:57 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:FM:PS:DO:	05-01-2018	Field Msr/Obs	Water		12-14-2020 8:19:01 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:FM:PS:PH:	05-01-2018	Field Msr/Obs	Water		12-14-2020 8:19:01 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:FM:PS:TS:	05-01-2018	Field Msr/Obs	Water		12-14-2020 8:19:01 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:FM:WB:	05-01-2018	Field Msr/Obs	Water		12-14-2020 8:19:01 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180501:SR:WB:	05-01-2018	Sample-Routine	Water		12-14-2020 8:19:01 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:FM:PS:DO:	05-15-2018	Field Msr/Obs	Water		12-14-2020 8:19:03 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:FM:PS:PH:	05-15-2018	Field Msr/Obs	Water		12-14-2020 8:19:03 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:FM:PS:TS:	05-15-2018	Field Msr/Obs	Water		12-14-2020 8:19:03 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:FM:WB:	05-15-2018	Field Msr/Obs	Water		12-14-2020 8:19:03 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180515:SR:WB:	05-15-2018	Sample-Routine	Water		12-14-2020 8:19:03 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:FM:PS:DO:	05-29-2018	Field Msr/Obs	Water		12-14-2020 8:19:07 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:FM:PS:PH:	05-29-2018	Field Msr/Obs	Water		12-14-2020 8:19:07 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:FM:PS:TS:	05-29-2018	Field Msr/Obs	Water		12-14-2020 8:19:07 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:FM:WB:	05-29-2018	Field Msr/Obs	Water		12-14-2020 8:19:07 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180529:SR:WB:	05-29-2018	Sample-Routine	Water		12-14-2020 8:19:07 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:FM:PS:DO:	06-19-2018	Field Msr/Obs	Water		12-14-2020 8:19:11 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:FM:PS:PH:	06-19-2018	Field Msr/Obs	Water		12-14-2020 8:19:11 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:FM:PS:TS:	06-19-2018	Field Msr/Obs	Water		12-14-2020 8:19:11 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:FM:WB:	06-19-2018	Field Msr/Obs	Water		12-14-2020 8:19:11 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180619:SR:WB:	06-19-2018	Sample-Routine	Water		12-14-2020 8:19:11 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:FM:PS:DO:	07-10-2018	Field Msr/Obs	Water		12-14-2020 8:19:14 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:FM:PS:PH:	07-10-2018	Field Msr/Obs	Water		12-14-2020 8:19:14 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:FM:PS:TS:	07-10-2018	Field Msr/Obs	Water		12-14-2020 8:19:14 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:FM:WB:	07-10-2018	Field Msr/Obs	Water		12-14-2020 8:19:14 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180710:SR:WB:	07-10-2018	Sample-Routine	Water		12-14-2020 8:19:14 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:FM:PS:DO:	07-31-2018	Field Msr/Obs	Water		12-14-2020 8:19:17 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:FM:PS:PH:	07-31-2018	Field Msr/Obs	Water		12-14-2020 8:19:17 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:FM:PS:TS:	07-31-2018	Field Msr/Obs	Water		12-14-2020 8:19:17 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:FM:WB:	07-31-2018	Field Msr/Obs	Water		12-14-2020 8:19:17 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180731:SR:WB:	07-31-2018	Sample-Routine	Water		12-14-2020 8:19:17 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:FM:PS:DO:	08-21-2018	Field Msr/Obs	Water		12-14-2020 8:19:21 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:FM:PS:PH:	08-21-2018	Field Msr/Obs	Water		12-14-2020 8:19:21 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:FM:PS:TS:	08-21-2018	Field Msr/Obs	Water		12-14-2020 8:19:21 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:FM:WB:	08-21-2018	Field Msr/Obs	Water		12-14-2020 8:19:21 PM
HUIWAIOLA_WQX	KCP	Cove Park	KCP180821:SR:WB:	08-21-2018	Sample-Routine	Water		12-14-2020 8:19:21 PM
